bench,llm,k,sigma_R2_amp,mse_RuleOPE_150,mse_MRDR_150,mse_DR_150,mse_NonCompDR_150,mse_RuleOPE_1200,mse_MRDR_1200,mse_DR_1200,mse_NonCompDR_1200,mrdr_gap_pct_1200,truth_1200
hotpot,smollm17b,1.0,0.02984481292640875,0.0075546126390596685,0.01787507140291059,0.0075546126390596685,0.014975408350994734,0.0028472051564088583,0.006093179240528265,0.0028472051564088583,0.005810737906401064,-53.27225666576629,RuleOPE
hotpot,smollm17b,2.0,0.039930662785783735,0.0072303926263026985,0.018823849771012195,0.0072303926263026985,0.015278388701432393,0.002750269719311311,0.006278704606710621,0.002750269719311311,0.005764026697678048,-56.196860792402184,RuleOPE
hotpot,smollm17b,3.0,0.04619183465638535,0.007496272673662415,0.019337217053072963,0.007496272673662415,0.015875290541661563,0.00258463227532547,0.006018410360854073,0.00258463227532547,0.005677984870049126,-57.05456889186459,RuleOPE
hotpot,smollm17b,4.0,0.05042758666963549,0.007111390797408154,0.0195535244135825,0.007111390797408154,0.016359639666897505,0.0026656471756005104,0.006021521615914227,0.0026656471756005104,0.005971512844449772,-55.73133593748971,RuleOPE
hotpot,qwen3b,1.0,0.045866588469831396,0.00901942080771766,0.01804804998130661,0.00901942080771766,0.018551556195519223,0.004339093126256922,0.0061548906671577055,0.004339093126256922,0.007759383107595702,-29.501702614959836,RuleOPE
hotpot,qwen3b,2.0,0.05340942973649579,0.009355641350728127,0.020469393126332638,0.009355641350728127,0.020026774574521438,0.004281735642609083,0.006551876550595196,0.004281735642609083,0.007942712671918675,-34.648713089380244,RuleOPE
hotpot,qwen3b,3.0,0.056998058338908184,0.009346869213262552,0.020179478558224943,0.009346869213262552,0.0198148733024141,0.004240531242446418,0.00604875550714293,0.004240531242446418,0.007868675008649798,-29.89415364137622,RuleOPE
hotpot,qwen3b,4.0,0.05932364733929879,0.009160451129695909,0.01934796778667513,0.009160451129695909,0.019775740823567495,0.004265776698498868,0.007069366800791175,0.004265776698498868,0.008031618717257175,-39.65829163056783,RuleOPE
hotpot,phi3mini,1.0,0.050979901568475955,0.004866042639655571,0.015557134166936437,0.004866042639655571,0.01575541653002981,0.0020359774673746472,0.005565839756987217,0.0020359774673746472,0.00615738619419806,-63.420120659802826,RuleOPE
hotpot,phi3mini,2.0,0.06127193407585027,0.006415878753981454,0.018162797045816435,0.006415878753981454,0.017395962918457616,0.0020198510160902607,0.005973920448755905,0.0020198510160902607,0.006389815736054876,-66.18885314231288,RuleOPE
