bench,llm,k,sigma_R2_amp,mse_RuleOPE_150,mse_MRDR_150,mse_DR_150,mse_NonCompDR_150,mse_RuleOPE_1200,mse_MRDR_1200,mse_DR_1200,mse_NonCompDR_1200,mrdr_gap_pct_1200,truth_1200
hotpot,smollm17b,8.0,0.05529357477180503,0.007079620449368417,0.019925773377780714,0.007079620449368417,0.016234591873090325,0.00246947483218069,0.0065537426035013335,0.00246947483218069,0.0056172541182152565,-62.319624349278314,RuleOPE
hotpot,smollm17b,16.0,0.056939326217161294,0.006633798330817714,0.020514653907540436,0.006633798330817714,0.015624385637579834,0.002451738599710096,0.006554982373760852,0.002451738599710096,0.005566163952901273,-62.5973273471453,RuleOPE
hotpot,qwen3b,8.0,0.06248251887097906,0.009461396825898822,0.01968442423190343,0.009461396825898822,0.02036575342445342,0.004179819432805136,0.006227229092582348,0.004179819432805136,0.007801205262423759,-32.87834170443501,RuleOPE
hotpot,qwen3b,16.0,0.06339025064074502,0.009398242652412823,0.019581785544068173,0.009398242652412823,0.02061867057651526,0.004212809844043389,0.006473485589500545,0.004212809844043389,0.008170573356643304,-34.92207890481419,RuleOPE
hotpot,phi3mini,8.0,0.07629481235251288,0.0055138213027447905,0.018760797899442003,0.0055138213027447905,0.01746048935389231,0.0023672111225510576,0.005625398556932184,0.0023672111225510576,0.006984422846839524,-57.919228325005676,RuleOPE
hotpot,phi3mini,16.0,0.0778226537708354,0.005961222002158089,0.019103605399813386,0.005961222002158089,0.018581677689704076,0.0024272945500414954,0.0057850525278744,0.0024272945500414954,0.007023541891376467,-58.04196179125525,RuleOPE
hotpot,phi35,8.0,0.08216276227840237,0.004264404946793142,0.018884586192222625,0.004264404946793142,0.01615999874499071,0.0018138582686468103,0.005243638814504462,0.0018138582686468103,0.006678651570291552,-65.40840563561538,RuleOPE
hotpot,phi35,16.0,0.08618010770372131,0.004266835720822722,0.018252569354231876,0.004266835720822722,0.017709700210386644,0.0018695168973945793,0.006384165328946729,0.0018695168973945793,0.0060868266610174925,-70.7163458170809,RuleOPE
hotpot,zephyr7b,8.0,0.06153367816146322,0.005584382956837921,0.012556189407511666,0.005584382956837921,0.012274596961956579,0.005615902155753568,0.0049870319953068875,0.005615902155753568,0.007135221104652559,12.610108798950703,MRDR
hotpot,zephyr7b,16.0,0.09174454267155809,0.005879909103082669,0.016410137054491993,0.005879909103082669,0.015538579789764884,0.0036394734203204025,0.00528913163665218,0.0036394734203204025,0.006330788329365108,-31.189585165551836,RuleOPE
hotpot,mistral,8.0,0.06934626750558698,0.006444758572955336,0.015956005208406166,0.006444758572955336,0.014270743732266732,0.005379902210293427,0.005425613769000895,0.005379902210293427,0.008450480012886263,-0.8425140574627621,RuleOPE
hotpot,mistral,16.0,0.08239070259287318,0.007256869724550411,0.01761519715398692,0.007256869724550411,0.016765271759155678,0.004964105675949424,0.005303128409847677,0.004964105675949424,0.008406007023896645,-6.392881855711863,RuleOPE
hotpot,qwen,8.0,0.06932605385826623,0.006725222686345589,0.021946892177816524,0.006725222686345589,0.017237755392641663,0.003503860940537382,0.005911031269177437,0.003503860940537382,0.008580991248028802,-40.723356365784035,RuleOPE
hotpot,qwen,16.0,0.07003613571150968,0.0058816843252025575,0.02355268151528243,0.0058816843252025575,0.0166789581650419,0.004041621425256271,0.006335079308701761,0.004041621425256271,0.008811855093611848,-36.202512576207745,RuleOPE
