bench,llm,p_spread,sigma_R2,mse_RuleOPE_150,mse_MRDR_150,mse_DR_150,mse_RuleOPE_1200,mse_MRDR_1200,mse_DR_1200,mrdr_gap_pct_1200,truth_1200
hotpot,smollm17b,0.5,0.123391297850113,0.0069711429487483,0.0218316953361364,0.0069711429487483,0.0015310928211913,0.0050606742044175,0.0015310928211913,-69.74527979187373,RuleOPE
hotpot,smollm17b,0.75,0.1661004275590045,0.0059696099757192,0.0206347320319761,0.0059696099757192,0.0013624651412079,0.0055098170129191,0.0013624651412079,-75.27204373551164,RuleOPE
hotpot,smollm17b,1.0,0.2090600832655388,0.00524117347334,0.0228994799427025,0.00524117347334,0.0009246168911078,0.0080637410390616,0.0009246168911078,-88.53364850596171,RuleOPE
hotpot,zephyr7b,0.5,0.1094711384768442,0.0065823688133435,0.016035909605162,0.0065823688133435,0.0047387756901096,0.00735234167251,0.0047387756901096,-35.54739563005357,RuleOPE
hotpot,zephyr7b,0.75,0.1564766720292479,0.0057394252268177,0.0188135080341679,0.0057394252268177,0.0027161604825549,0.0058484527366465,0.0027161604825549,-53.55762276173592,RuleOPE
hotpot,zephyr7b,1.0,0.2026781194583475,0.0058885968996672,0.0246554025020685,0.0058885968996672,0.001602207640161,0.0076413366820116,0.001602207640161,-79.03236427295843,RuleOPE
hotpot,phi35,0.5,0.1279987194421137,0.0044403911945772,0.0196341956775123,0.0044403911945772,0.0013344285319146,0.005118295265399,0.0013344285319146,-73.92826199504985,RuleOPE
hotpot,phi35,0.75,0.1624741304931465,0.0035996844856826,0.0199351632888021,0.0035996844856826,0.0008739859137331,0.0048736480695216,0.0008739859137331,-82.06711068862744,RuleOPE
hotpot,phi35,1.0,0.1997200867848838,0.0044998808842002,0.0237231376823316,0.0044998808842002,0.0007072757452487,0.00675628921894,0.0007072757452487,-89.53159460275813,RuleOPE
hotpot,mistral,0.5,0.1121864627237232,0.0072476506590869,0.0175441418613798,0.0072476506590869,0.0046424242378439,0.0048451610999634,0.0046424242378439,-4.184316226781471,RuleOPE
hotpot,mistral,0.75,0.1595056147508208,0.0055787802521272,0.0176190263081098,0.0055787802521272,0.0030784964282959,0.0047614656039289,0.0030784964282959,-35.34561237288663,RuleOPE
hotpot,mistral,1.0,0.2054205783787471,0.0065573566306684,0.0240244332328602,0.0065573566306684,0.0014691372860282,0.0073764363421736,0.0014691372860282,-80.08337335430257,RuleOPE
hotpot,qwen,0.5,0.13240598414903634,0.0056514170548887434,0.022346045251492634,0.0056514170548887434,0.0017703874154081402,0.006535953805768712,0.0017703874154081402,-72.91309779690341,RuleOPE
hotpot,qwen,0.75,0.16767119073506886,0.004919280422772255,0.02174940890977363,0.004919280422772255,0.001530043764941699,0.004650168875051398,0.001530043764941699,-67.09702795632799,RuleOPE
hotpot,qwen,1.0,0.20467332952060893,0.0052046778600597626,0.024650006627019033,0.0052046778600597626,0.0006597458986808784,0.007049374894048419,0.0006597458986808784,-90.64107231354822,RuleOPE
hotpot,yi15,0.5,0.1306138667702468,0.005232227133759257,0.020895361090391515,0.005232227133759257,0.0014368297491875587,0.005925735559584693,0.0014368297491875587,-75.75271905504573,RuleOPE
hotpot,yi15,0.75,0.16755416495037637,0.004276964628534842,0.02220242664197899,0.004276964628534842,0.0010970091074698886,0.006573754243260426,0.0010970091074698886,-83.31228903796382,RuleOPE
hotpot,yi15,1.0,0.20302774783498903,0.004499851200930602,0.023864995785005536,0.004499851200930602,0.0007808535717252902,0.006638161256106106,0.0007808535717252902,-88.23689962326506,RuleOPE
