bench,llm,sigma_R2,truth,n_pilots,picks_ruleope,picks_mrdr,single_draw_accuracy,majority_pick,majority_correct,gen_calls_per_pilot
nq,qwen3b,0.0813920007255559,MRDR,20,7,13,0.65,MRDR,True,450
hotpot,phi3mini,0.0509799015684759,RuleOPE,20,19,1,0.95,RuleOPE,True,450
nq,phi3mini,0.0868113928322473,MRDR,20,5,15,0.75,MRDR,True,450
nq,phi35,0.0872467269918207,MRDR,20,9,11,0.55,MRDR,True,450
nq,mistral,0.0666185156705282,MRDR,20,10,10,0.5,RuleOPE,False,450
hotpot,qwen,0.0523795693294904,RuleOPE,20,17,3,0.85,RuleOPE,True,450
nq,qwen,0.0898916940542189,MRDR,20,7,13,0.65,MRDR,True,450
hotpot,internlm7b,0.050260327504554,RuleOPE,20,18,2,0.9,RuleOPE,True,450
nq,internlm7b,0.0884875488580609,MRDR,20,5,15,0.75,MRDR,True,450
hotpot,granite8b,0.0516384393942496,RuleOPE,20,19,1,0.95,RuleOPE,True,450
nq,granite8b,0.0823754481795569,MRDR,20,8,12,0.6,MRDR,True,450
hotpot,yi15,0.0507714573901636,RuleOPE,20,19,1,0.95,RuleOPE,True,450
nq,yi15,0.094136947807063,MRDR,20,5,15,0.75,MRDR,True,450
2wiki,qwen14b,0.0509726657869054,MRDR,20,16,4,0.2,RuleOPE,False,450
2wiki,qwen32b,0.0540787285947357,MRDR,20,12,8,0.4,RuleOPE,False,450
hotpot,qwen14b,0.0548356792749561,RuleOPE,20,17,3,0.85,RuleOPE,True,450
nq,qwen14b,0.0856437582181441,MRDR,20,7,13,0.65,MRDR,True,450
hotpot,qwen32b,0.0584073770913972,RuleOPE,20,18,2,0.9,RuleOPE,True,450
nq,qwen32b,0.0822767597764882,MRDR,20,9,11,0.55,MRDR,True,450
