bench,llm,sigma_R2
2wiki,granite8b,0.019880245404666395
2wiki,internlm7b,0.04393568771963592
2wiki,mistral,0.01657892114107243
2wiki,olmo7b,0.00382616435025211
2wiki,phi35,0.028698760493582692
2wiki,phi3mini,0.03292150638224993
2wiki,qwen,0.04066475452801339
2wiki,qwen14b,0.05097266578690545
2wiki,qwen32b,0.05407872859473574
2wiki,qwen3b,0.033338831636374126
2wiki,qwencoder7b,0.005293168724279835
2wiki,smollm17b,0.03446911792471366
2wiki,yi15,0.033926681394650944
2wiki,zephyr7b,0.003010459671162876
hotpot,granite8b,0.051638439394249606
hotpot,internlm7b,0.05026032750455402
hotpot,mistral,0.013936865817877552
hotpot,olmo7b,0.005302698141934564
hotpot,phi35,0.046428043528455545
hotpot,phi3mini,0.050979901568475955
hotpot,qwen,0.05237956932949041
hotpot,qwen14b,0.05483567927495618
hotpot,qwen32b,0.05840737709139726
hotpot,qwen3b,0.045866588469831396
hotpot,qwencoder7b,0.013812365971488138
hotpot,smollm17b,0.02984481292640875
hotpot,yi15,0.05077145739016361
hotpot,zephyr7b,0.010337593289536127
musique,granite8b,0.009610965767765019
musique,internlm7b,0.016545361724236964
musique,mistral,0.0014796862724618858
musique,olmo7b,0.002839264820650597
musique,phi35,0.017127189812314328
musique,phi3mini,0.014146561886947956
musique,qwen,0.015600030800453342
musique,qwen3b,0.010778822273059699
musique,qwencoder7b,0.0006677786176198876
musique,smollm17b,0.01300907770025765
musique,yi15,0.016539024557919228
musique,zephyr7b,0.0029230469475112716
nq,granite8b,0.08237544817955694
nq,internlm7b,0.08848754885806098
nq,mistral,0.06661851567052826
nq,olmo7b,0.00785661040810027
nq,phi35,0.08724672699182073
nq,phi3mini,0.08681139283224733
nq,qwen,0.08989169405421893
nq,qwen14b,0.08564375821814413
nq,qwen32b,0.08227675977648824
nq,qwen3b,0.08139200072555594
nq,qwencoder7b,0.023819505146365817
nq,smollm17b,0.04464564935522749
nq,yi15,0.09413694780706307
nq,zephyr7b,0.011164685966463988
trivia,granite8b,0.030952029396645275
trivia,internlm7b,0.028062182081626776
trivia,mistral,0.01724781181894038
trivia,olmo7b,0.009204900326617829
trivia,phi35,0.0342481526471479
trivia,phi3mini,0.03437275338025252
trivia,qwen,0.029580677057843566
trivia,qwen14b,0.02840845284734047
trivia,qwen32b,0.028760761529171047
trivia,qwen3b,0.034172453585806194
trivia,qwencoder7b,0.020078720701621682
trivia,smollm17b,0.02879006641545543
trivia,yi15,0.03451796384693457
trivia,zephyr7b,0.00942383769563437
